2020/02/10 20:46:02 logger.go:22: LogFile : ./log.log
2020/02/10 20:46:15 mqtt.go:23: deviceId:dab31 , log: {"data":[0,3541.611500,5122.354700,1202.100000,20200210171612.000,0,9,0.277800,32.930000,505,514,624,505,513,624,0,31,3950,0,0,0]}
2020/02/10 20:46:15 mqtt.go:23: deviceId:dab31 , log: {"data":[0,3541.611600,5122.354700,1202.100000,20200210171613.000,0,9,0.370400,30.010000,505,514,624,505,513,624,0,31,3950,0,0,0]}
2020/02/10 20:46:16 mqtt.go:23: deviceId:dab31 , log: {"data":[0,3541.611600,5122.354700,1202.100000,20200210171614.000,0,9,0.463000,4.180000,505,514,624,505,514,624,0,31,3950,0,0,0]}
2020/02/10 20:46:17 mqtt.go:23: deviceId:dab31 , log: {"data":[0,3541.611700,5122.354700,1202.100000,20200210171615.000,0,9,0.259280,339.239990,505,514,624,505,514,624,0,31,3950,0,0,0]}
2020/02/10 20:46:22 mqtt.go:23: deviceId:dab31 , log: {"data":[0,3541.611700,5122.354700,1202.100000,20200210171616.000,0,9,0.388920,352.079987,505,514,624,504,514,624,0,31,3950,0,0,0]}
2020/02/10 20:46:22 mqtt.go:23: deviceId:dab31 , log: {"data":[0,3541.611800,5122.354700,1202.100000,20200210171617.000,0,9,0.314840,357.059998,505,514,624,505,514,624,0,31,3950,0,0,0]}
2020/02/10 20:46:22 mqtt.go:23: deviceId:dab33 , log: {"data":[0,3541.609400,5122.235900,1200.000000,20200210171610.000,0,9,0.463000,215.039993,103,105,106,103,105,106,1,31,3933,0,18,17]}
2020/02/10 20:46:22 mqtt.go:23: deviceId:dab31 , log: {"data":[0,3541.611800,5122.354700,1202.100000,20200210171618.000,0,9,0.388920,10.690000,505,513,624,505,514,624,0,31,3950,0,0,0]}
2020/02/10 20:46:22 mqtt.go:23: deviceId:dab33 , log: {"data":[0,3541.609400,5122.235900,1200.100000,20200210171611.000,0,9,0.166680,240.199997,103,105,106,103,105,106,1,31,3933,0,18,17]}
2020/02/10 20:46:22 mqtt.go:23: deviceId:dab31 , log: {"data":[0,3541.611900,5122.354700,1202.100000,20200210171619.000,0,9,0.407440,76.510002,505,514,623,505,514,624,0,31,3950,0,0,0]}
2020/02/10 20:46:22 mqtt.go:23: deviceId:dab33 , log: {"data":[0,3541.609400,5122.235900,1200.200000,20200210171612.000,0,9,0.259280,112.959999,103,105,106,103,105,106,1,31,3961,0,18,17]}
2020/02/10 20:46:22 mqtt.go:23: deviceId:dab31 , log: {"data":[0,3541.611900,5122.354800,1202.100000,20200210171620.000,0,9,0.481520,87.699997,505,514,624,505,514,624,0,31,3950,0,0,0]}
2020/02/10 20:46:22 mqtt.go:23: deviceId:dab33 , log: {"data":[0,3541.609400,5122.235900,1200.300000,20200210171613.000,0,9,0.055560,201.259995,103,105,106,103,105,106,1,31,3961,0,18,18]}
2020/02/10 20:46:22 mqtt.go:23: deviceId:dab33 , log: {"data":[0,3541.609400,5122.235900,1200.400000,20200210171614.000,0,9,0.037040,40.240002,103,105,106,103,105,106,1,31,3961,0,18,17]}
2020/02/10 20:46:23 mqtt.go:23: deviceId:dab31 , log: {"data":[0,3541.611900,5122.354900,1202.100000,20200210171621.000,0,9,0.166680,50.549999,505,514,624,504,514,624,0,31,3966,0,0,0]}
2020/02/10 20:46:23 mqtt.go:23: deviceId:dab33 , log: {"data":[0,3541.609400,5122.235900,1200.500000,20200210171615.000,0,9,0.351880,260.450012,103,105,106,103,105,106,1,31,3961,0,18,17]}
2020/02/10 20:46:23 mqtt.go:23: deviceId:dab33 , log: {"data":[0,3541.609300,5122.235800,1200.600000,20200210171616.000,0,9,0.425960,211.460007,103,105,106,103,105,106,1,31,3961,0,18,17]}
2020/02/10 20:46:23 mqtt.go:23: deviceId:dab33 , log: {"data":[0,3541.609300,5122.235800,1200.700000,20200210171617.000,0,9,0.333360,210.059998,103,105,106,103,105,106,1,31,3966,0,18,17]}
2020/02/10 20:46:23 mqtt.go:23: deviceId:dab33 , log: {"data":[0,3541.609200,5122.235800,1200.800000,20200210171618.000,0,9,0.259280,200.910004,103,105,106,103,105,106,1,31,3966,0,18,17]}
2020/02/10 20:46:24 mqtt.go:23: deviceId:dab33 , log: {"data":[0,3541.609200,5122.235700,1200.900000,20200210171619.000,0,9,0.333360,216.669998,103,105,106,103,105,106,1,31,3966,0,18,17]}
2020/02/10 20:46:24 mqtt.go:23: deviceId:dab33 , log: {"data":[0,3541.609200,5122.235700,1201.000000,20200210171620.000,0,9,0.314840,206.970001,103,105,106,103,105,106,1,31,3966,0,18,17]}
2020/02/10 20:46:24 mqtt.go:23: deviceId:dab33 , log: {"data":[0,3541.609100,5122.235700,1201.000000,20200210171621.000,0,9,0.092600,128.589996,103,105,106,103,105,106,1,31,3966,0,18,17]}
2020/02/10 20:46:24 mqtt.go:23: deviceId:dab33 , log: {"data":[0,3541.609100,5122.235700,1201.100000,20200210171622.000,0,9,0.203720,255.919998,103,105,106,103,105,106,1,31,3939,0,18,17]}
2020/02/10 20:46:24 mqtt.go:23: deviceId:dab31 , log: {"data":[0,3541.611900,5122.354900,1202.100000,20200210171623.000,0,9,0.129640,62.340000,505,514,624,504,514,624,0,31,3966,0,0,0]}
2020/02/10 20:46:24 mqtt.go:23: deviceId:dab33 , log: {"data":[0,3541.609100,5122.235700,1201.200000,20200210171623.000,0,9,0.259280,258.540009,103,105,106,103,105,106,1,31,3939,0,18,17]}
2020/02/10 20:46:25 mqtt.go:23: deviceId:dab31 , log: {"data":[0,3541.611900,5122.354900,1202.100000,20200210171624.000,0,9,0.148160,80.209999,505,514,624,505,514,624,0,31,3966,0,0,0]}
2020/02/10 20:46:29 logger.go:22: LogFile : ./log.log
2020/02/10 20:46:29 mqtt.go:23: deviceId:dab31 , log: {"data":[0,3541.611900,5122.355200,1202.100000,20200210171628.000,0,9,0.537080,58.650002,505,513,624,505,514,624,0,31,3955,0,0,0]}
2020/02/10 20:46:31 mqtt.go:23: deviceId:dab31 , log: {"data":[0,3541.612000,5122.355300,1202.100000,20200210171629.000,0,9,0.277800,74.519997,505,514,623,505,514,624,0,31,3955,0,0,0]}
2020/02/10 20:46:33 mqtt.go:23: deviceId:dab31 , log: {"data":[0,3541.612000,5122.355300,1202.000000,20200210171630.000,0,9,0.351880,72.269997,505,514,624,505,513,624,0,31,3955,0,0,0]}
2020/02/10 20:46:33 mqtt.go:23: deviceId:dab31 , log: {"data":[0,3541.612000,5122.355400,1202.000000,20200210171631.000,0,9,0.351880,70.709999,505,514,623,505,514,624,0,31,3966,0,0,0]}
